colloq_name,title,museum_id,classification,creation_date
Rembrandt,Three Oriental Figures (Jacob and Laban?),AIC,Prints and Drawings,
Rembrandt,"The Artist's Mother Seated at a Table, Looking Right: Three Quarter Length",AIC,Prints and Drawings,
Rembrandt,The First Oriental Head,AIC,Prints and Drawings,
Rembrandt,Kostverloren Castle in Decay,AIC,Prints and Drawings,
Rembrandt,Self-Portrait in a Flat Cap and Embroidered Dress,AIC,Prints and Drawings,
Rembrandt,Abraham and Isaac,AIC,Prints and Drawings,
Rembrandt,The Raising of Lazarus: Small Plate,AIC,Prints and Drawings,
Rembrandt,The Hundred Guilder Print,AIC,Prints and Drawings,
Rembrandt,The Baptism of the Eunuch,AIC,Prints and Drawings,
Rembrandt,Jews in the Synagogue,AIC,Prints and Drawings,
Rembrandt,Peasant Family on the Tramp,AIC,Prints and Drawings,
Rembrandt,Landscape with Cottages and a Hay Barn: Oblong,AIC,Prints and Drawings,
Rembrandt,Cottage Beside a Canal with a View of Ouderkerk,AIC,Prints and Drawings,
Rembrandt,"Jan Lutma, Goldsmith",AIC,Prints and Drawings,
Rembrandt,Woman with the Arrow,AIC,Prints and Drawings,
Rembrandt,Christ Carried to the Tomb,AIC,Prints and Drawings,
Rembrandt,"Clement de Jonghe, Printseller",AIC,Prints and Drawings,
Rembrandt,Jan Uytenbogaert,AIC,Prints and Drawings,
Rembrandt,Nude Man Seated before a Curtain,AIC,Prints and Drawings,
Rembrandt,Self-Portrait with Saskia,AIC,Prints and Drawings,
Rembrandt,"Jan Asselijn, Painter",AIC,Prints and Drawings,
Rembrandt,The Hundred Guilder Print,AIC,Prints and Drawings,
Rembrandt,The Stoning of St. Stephen,AIC,Prints and Drawings,
Rembrandt,Nude Man Seated on the Ground with One Leg Extended,AIC,Prints and Drawings,
Rembrandt,Woman Bathing her Feet at a Brook,AIC,Prints and Drawings,
Rembrandt,The Ringball Player,AIC,Prints and Drawings,
Rembrandt,Abraham's Sacrifice,AIC,Prints and Drawings,
Rembrandt,Abraham and Isaac,AIC,Prints and Drawings,
Rembrandt,The Adoration of the Shepherds: With the Lamp,AIC,Prints and Drawings,
Rembrandt,The Angel Appearing to the Shepherds,AIC,Prints and Drawings,
Rembrandt,The Angel Departing from the Family of Tobias,AIC,Prints and Drawings,
Rembrandt,"Cornelis Claesz. Anslo, Preacher",AIC,Prints and Drawings,
Rembrandt,"Beggar Leaning on a Stick, Facing Left",AIC,Prints and Drawings,
Rembrandt,Beggar Seated on a Bank,AIC,Prints and Drawings,
Rembrandt,Beggars Receiving Alms at the Door of a House,AIC,Prints and Drawings,
Rembrandt,"Ephraim Bonus, Jewish Physician",AIC,Prints and Drawings,
Rembrandt,Portrait of a Boy,AIC,Prints and Drawings,
Rembrandt,Christ at Emmaus: The Smaller Plate,AIC,Prints and Drawings,
Rembrandt,Christ at Emmaus: The Larger Plate,AIC,Prints and Drawings,
Rembrandt,The Hundred Guilder Print,AIC,Prints and Drawings,
Rembrandt,Christ Preaching,AIC,Prints and Drawings,
Rembrandt,The Circumcision: Small Plate,AIC,Prints and Drawings,
Rembrandt,"Clement de Jonghe, Printseller",AIC,Prints and Drawings,
Rembrandt,A Cottage with White Paling,AIC,Prints and Drawings,
Rembrandt,Woman Cutting her Mistress's Nails (Bathsheba),AIC,Prints and Drawings,
Rembrandt,The Descent from the Cross: Second Plate,AIC,Prints and Drawings,
Rembrandt,The Entombment,AIC,Prints and Drawings,
Rembrandt,The Flight into Egypt: Crossing a Brook,AIC,Prints and Drawings,
Rembrandt,The Fourth Oriental Head,AIC,Prints and Drawings,
Rembrandt,The Goldsmith,AIC,Prints and Drawings,
Rembrandt,The Good Samaritan,AIC,Prints and Drawings,
Rembrandt,Thomas Haaringh (Old Haaringh),AIC,Prints and Drawings,
Rembrandt,Pieter Haaringh (Young Haaringh),AIC,Prints and Drawings,
Rembrandt,Jews in the Synagogue,AIC,Prints and Drawings,
Rembrandt,Joseph's Coat Brought to Jacob,AIC,Prints and Drawings,
Rembrandt,Landscape with a Cow Drinking,AIC,Prints and Drawings,
Rembrandt,Landscape with Cottages and a Hay Barn: Oblong,AIC,Prints and Drawings,
Rembrandt,Cottages and a Hay Barn on the Diemerdijk with a Flock of Sheep,AIC,Prints and Drawings,
Rembrandt,View of the Diemerdijk with a Milkman and Cottages,AIC,Prints and Drawings,
Rembrandt,Landscape with a Cottage and a Large Tree,AIC,Prints and Drawings,
Rembrandt,Landscape with a Square Tower,AIC,Prints and Drawings,
Rembrandt,Landscape with Three Gabled Cottages Beside a Road,AIC,Prints and Drawings,
Rembrandt,"Landscape with a Farm Building and the ""House with the Tower""",AIC,Prints and Drawings,
Rembrandt,Cottage Beside a Canal With a View of Ouderkerk,AIC,Prints and Drawings,
Rembrandt,"Jan Lutma, Goldsmith",AIC,Prints and Drawings,
Rembrandt,"Bearded Man, in Furred Oriental Cap and Robe",AIC,Prints and Drawings,
Rembrandt,Bearded Man in a Velvet Cap with Jewel Clasp,AIC,Prints and Drawings,
Rembrandt,Old Man Shading His Eyes with His Hand,AIC,Prints and Drawings,
Rembrandt,"Old Man with Beard, Fur Cap, and Velvet Cloak",AIC,Prints and Drawings,
Rembrandt,Young Man in a Velvet Cap (Petrus Sylvius?),AIC,Prints and Drawings,
Rembrandt,The Strolling Musicians,AIC,Prints and Drawings,
Rembrandt,The Return of the Prodigal Son,AIC,Prints and Drawings,
Rembrandt,Self-Portrait Etching at a Window,AIC,Prints and Drawings,
