artist|title|museum|artwork_genre|creation_date
Wassily Kandinsky|Radierung für 24 Essais de Jakovski|Carnegie Museum of Art|prints|1934
Joan Miró|Les Trois Soeurs (The Three Sisters)|Carnegie Museum of Art|drawings and watercolors|1938
Henri Matisse|Small Black Woodcut (Petit bois noir)|Carnegie Museum of Art|prints|1906
Gerhard Richter|20. Jan. 1990|Carnegie Museum of Art|drawings and watercolors|1990
Willem De Kooning|Untitled Woman|Carnegie Museum of Art|drawings and watercolors|1951
William Hogarth|Marriage à la Mode, Plate 3, (The Inspection)|Carnegie Museum of Art|prints|1745
William Hogarth|Marriage à la Mode, Plate 4, (The Toilette)|Carnegie Museum of Art|prints|1745
Charles Turner|Lady Louisa Manners in Peasant Dress|Carnegie Museum of Art|prints|1807
Edgar Degas|Dancer Looking at the Sole of Her Right Foot (Danseuse regardant la plante de son pied droit)|Carnegie Museum of Art|sculpture|modeled c. 1896---1911, cast before 1932
Pablo Picasso|Untitled|Carnegie Museum of Art|prints|ca. 1960
Rembrandt Van Rijn|The Tribute Money|Carnegie Museum of Art|prints|c. 1635
Wassily Kandinsky|Radierung/ No. 4|Carnegie Museum of Art|prints|1916
Francisco de Goya|Francisco de Goya y Lucientes, Pintor (Francisco de Goya y Lucientes, Painter)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|El si pronuncian y la mano alargan al primero que llega. (They Say Yes and Give Their Hand to the First One Who Comes Along.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Que viene el coco. (Here Comes the Bogey-Man.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|El de la rollona. (Nanny's Boy.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Tal para qual. (Two of a Kind.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Nadie se conoce. (Nobody Knows Himself.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Ni asi la distingue. (Even Thus He Cannot Make Her Out.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Que se la llevaron! (They Carried Her Off!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Tantalo. (Tantalus.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|El amor y la muerte. (Love and Death.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Muchachos al avío. (Lads Making Ready.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|A caza des dientes. (Hunting for Teeth.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Estan calientes. (They Are Hot.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Que sacrificio! (What a Sacrifice!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Bellos consejos. (Pretty Advice.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Dios la perdone: Y era su madre. (God Forgive Her: That Was Her Mother.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Bien tirada está. (It Is Nicely Stretched.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Y sele quema la casa. (And His House Is on Fire.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Todos caerán. (Everyone Will Fall.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Ya van desplumados. (There They Go Plucked.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|¡Qual la descañonan! (How They Pluck Her! )|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Pobrecitas! (Poor Young Girls!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Aquellos polbos. (Those Specks of Dust.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Nohubo remedio. (Nothing Could Be Done.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Si quebró el Cantaro. (Yes He Broke the Pot.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Ya tienen asiento. (They  Already Have Seats.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Quien mas rendido? (Who Has Surrendered the Most?)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Chiton. (Hush.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Esto si que es leer. (This Is What Is Called Reading.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Porque esconderlos? (Why Hide Them?)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Ruega por ella. (She Prays for Her.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Por que fue sensible. (Because She Was Susceptible.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Al Conde Palatino. (To the Count Palatino)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Las rinde el sueño. (Sleep Overcomes Them.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|La descañona. (She Fleeces Him.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Mala noche. (A Bad Night.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Si sabrá mas el discipulo? (Might Not the Pupil Know More?)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Brabisimo! (Bravo!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Asta su abuelo. (And So Was His Grandfather.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|De que mal morira? (From Which Misfortune Will He Die?)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Ni mas ni menos. (Neither More Nor Less)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Tu que no puedes. (You Who Are Not Able.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|El sueño de la razon produce monstruos. (The Sleep of Reason Produces Monsters.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Hilan delgado. (They Spin Finely.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Mucho hay que chupar. (There Is Plenty to Suck.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Correccion. (Correction)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Obsequio á el maestro. (Paying Respect to the Master)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Soplones. (Blasts of Wind.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Duendecitos. (Little Hobgoblins)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Los chinchillas. (The Chinchillas)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Se repulen. (They Spruce Themselves Up.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Lo que puede un Sastre! (What a Tailor Can Do!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Que pico de Oro! (What a Golden Beak!)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|El Vergonzoso. (The Shamefaced One.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Hasta la muerte. (Until Death.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Subir y bajar. (To Rise and To Fall.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|La filiación. (Family Background.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Trágala perro. (Take That, You Dog.)|Carnegie Museum of Art|prints|c.1796-1799
Francisco de Goya|Y aun no se van! (And Still They Do Not Go!)|Carnegie Museum of Art|prints|c.1796-1799
