last_name|cited_name|artwork_genre|title|artist|creation_date|nationality|index|museum
Baer|Baer, Jo|paintings|Untitled|Jo Baer|1964-1965|American|1|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 5: The Attack of the Embassy (Reconstruction)|Franz Ackermann|1999|German|2|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 6: Rebuilding Beyrut|Franz Ackermann|1999|German|3|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 7: Bombing the Power Plant|Franz Ackermann|1999|German|4|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 8: Suddenly It was Completely Dark (Maybe Because I Closed My Eyes)|Franz Ackermann|1999|German|5|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|"Trans East West (Tew) No. 9: The ""Meridien"" Will Have a Nice View"|Franz Ackermann|1999|German|6|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 10: To the People of Damascus|Franz Ackermann|1999|German|7|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 11: Former Restaurant|Franz Ackermann|1999|German|8|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 12: The Neighbours|Franz Ackermann|1999|German|9|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 13: The President|Franz Ackermann|1999|German|10|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 14: To the People of Damascus|Franz Ackermann|1999|German|11|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 15: Cinema Beyrut|Franz Ackermann|1999|German|12|Carnegie Museum of Art
Ackermann|Ackermann, Franz|drawings and watercolors|Trans East West (Tew) No. 16: Secret Excavations in Pigman's Land|Franz Ackermann|1999|German|13|Carnegie Museum of Art
Katz|Katz, Alex|paintings|Green Jacket|Alex Katz|1989|American|36|Carnegie Museum of Art
Newman|Newman, Henry Roderick|drawings and watercolors|Study for Autumn Foliage|Henry Roderick Newman|1867|American|39|Carnegie Museum of Art
Lhote|Lhote, André|drawings and watercolors|Paysage du Bassin d'Arcachon|André Lhote|c. 1930|French|40|Carnegie Museum of Art
Kandinsky|Kandinsky, Vassily|prints|"Radierung für ""24 Essais de Jakovski"""|Wassily Kandinsky|1934|Russian|41|Carnegie Museum of Art
unknown|unknown|sculpture|Bust of Boy Crying|unknown|<blank>|undetermined|51|Carnegie Museum of Art
