artist|title|museum|artwork_genre|creation_date
Rembrandt van Rijn|Three Oriental Figures (Jacob and Laban?)|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|The Artist's Mother Seated at a Table, Looking Right: Three Quarter Length|Art_Institute_of_Chicago|Prints and Drawings|c. 1631
Rembrandt van Rijn|The First Oriental Head|Art_Institute_of_Chicago|Prints and Drawings|1635
Rembrandt van Rijn|Kostverloren Castle in Decay|Art_Institute_of_Chicago|Prints and Drawings|c. 1652
Rembrandt van Rijn|Self-Portrait in a Flat Cap and Embroidered Dress|Art_Institute_of_Chicago|Prints and Drawings|c. 1642
Rembrandt van Rijn|Abraham and Isaac|Art_Institute_of_Chicago|Prints and Drawings|1645
Rembrandt van Rijn|The Raising of Lazarus: Small Plate|Art_Institute_of_Chicago|Prints and Drawings|1642
Rembrandt van Rijn|The Hundred Guilder Print|Art_Institute_of_Chicago|Prints and Drawings|c. 1648
Rembrandt van Rijn|The Baptism of the Eunuch|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|Jews in the Synagogue|Art_Institute_of_Chicago|Prints and Drawings|1648
Rembrandt van Rijn|Peasant Family on the Tramp|Art_Institute_of_Chicago|Prints and Drawings|c. 1652
Rembrandt van Rijn|Landscape with Cottages and a Hay Barn: Oblong|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|Cottage Beside a Canal with a View of Ouderkerk|Art_Institute_of_Chicago|Prints and Drawings|c. 1641
Rembrandt van Rijn|Jan Lutma, Goldsmith|Art_Institute_of_Chicago|Prints and Drawings|1656
Rembrandt van Rijn|Woman with the Arrow|Art_Institute_of_Chicago|Prints and Drawings|1661
Rembrandt van Rijn|Christ Carried to the Tomb|Art_Institute_of_Chicago|Prints and Drawings|c. 1645
Rembrandt van Rijn|Clement de Jonghe, Printseller|Art_Institute_of_Chicago|Prints and Drawings|1651
Rembrandt van Rijn|Jan Uytenbogaert|Art_Institute_of_Chicago|Prints and Drawings|1635, printed 1906
Rembrandt van Rijn|Nude Man Seated before a Curtain|Art_Institute_of_Chicago|Prints and Drawings|1646
Rembrandt van Rijn|Self-Portrait with Saskia|Art_Institute_of_Chicago|Prints and Drawings|1636
Rembrandt van Rijn|Jan Asselijn, Painter|Art_Institute_of_Chicago|Prints and Drawings|c. 1647
Rembrandt van Rijn|The Hundred Guilder Print|Art_Institute_of_Chicago|Prints and Drawings|n.d.
Rembrandt van Rijn|The Stoning of St. Stephen|Art_Institute_of_Chicago|Prints and Drawings|1635
Rembrandt van Rijn|Nude Man Seated on the Ground with One Leg Extended|Art_Institute_of_Chicago|Prints and Drawings|1646
Rembrandt van Rijn|Woman Bathing her Feet at a Brook|Art_Institute_of_Chicago|Prints and Drawings|1658
Rembrandt van Rijn|The Ringball Player|Art_Institute_of_Chicago|Prints and Drawings|1654
Rembrandt van Rijn|Abraham's Sacrifice|Art_Institute_of_Chicago|Prints and Drawings|1655
Rembrandt van Rijn|Abraham and Isaac|Art_Institute_of_Chicago|Prints and Drawings|1645
Rembrandt van Rijn|The Adoration of the Shepherds: With the Lamp|Art_Institute_of_Chicago|Prints and Drawings|c. 1654
Rembrandt van Rijn|The Angel Appearing to the Shepherds|Art_Institute_of_Chicago|Prints and Drawings|1634
Rembrandt van Rijn|The Angel Departing from the Family of Tobias|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|Cornelis Claesz. Anslo, Preacher|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|Beggar Leaning on a Stick, Facing Left|Art_Institute_of_Chicago|Prints and Drawings|c. 1630
Rembrandt van Rijn|Beggar Seated on a Bank|Art_Institute_of_Chicago|Prints and Drawings|1630
Rembrandt van Rijn|Beggars Receiving Alms at the Door of a House|Art_Institute_of_Chicago|Prints and Drawings|1648
Rembrandt van Rijn|Ephraim Bonus, Jewish Physician|Art_Institute_of_Chicago|Prints and Drawings|1647
Rembrandt van Rijn|Portrait of a Boy|Art_Institute_of_Chicago|Prints and Drawings|1641
Rembrandt van Rijn|Christ at Emmaus: The Smaller Plate|Art_Institute_of_Chicago|Prints and Drawings|1634
Rembrandt van Rijn|Christ at Emmaus: The Larger Plate|Art_Institute_of_Chicago|Prints and Drawings|1654
Rembrandt van Rijn|The Hundred Guilder Print|Art_Institute_of_Chicago|Prints and Drawings|c. 1648
Rembrandt van Rijn|Christ Preaching|Art_Institute_of_Chicago|Prints and Drawings|c. 1657
Rembrandt van Rijn|The Circumcision: Small Plate|Art_Institute_of_Chicago|Prints and Drawings|c. 1630
Rembrandt van Rijn|Clement de Jonghe, Printseller|Art_Institute_of_Chicago|Prints and Drawings|1651
Rembrandt van Rijn|A Cottage with White Paling|Art_Institute_of_Chicago|Prints and Drawings|1648
Rembrandt van Rijn|Woman Cutting her Mistress's Nails (Bathsheba)|Art_Institute_of_Chicago|Prints and Drawings|after 1632
Rembrandt van Rijn|The Descent from the Cross: Second Plate|Art_Institute_of_Chicago|Prints and Drawings|1633
Rembrandt van Rijn|The Entombment|Art_Institute_of_Chicago|Prints and Drawings|c. 1654
Rembrandt van Rijn|The Flight into Egypt: Crossing a Brook|Art_Institute_of_Chicago|Prints and Drawings|1654
Rembrandt van Rijn|The Fourth Oriental Head|Art_Institute_of_Chicago|Prints and Drawings|c. 1635
Rembrandt van Rijn|The Goldsmith|Art_Institute_of_Chicago|Prints and Drawings|1655
Rembrandt van Rijn|The Good Samaritan|Art_Institute_of_Chicago|Prints and Drawings|1633
Rembrandt van Rijn|Thomas Haaringh (Old Haaringh)|Art_Institute_of_Chicago|Prints and Drawings|c. 1655
