artist|title|museum|artwork_genre|creation_date
Eugène Delacroix|Two Boats at the Harbor of Dieppe|Cleveland Museum of Art|Drawing|1854
Eugène Delacroix|Greek Cavalry Men Resting in Forest|Cleveland Museum of Art|Painting|1858
Eugène Delacroix|A Trapped Tiger|Cleveland Museum of Art|Print|1854
Eugène Delacroix|The Blacksmith|Cleveland Museum of Art|Print|1833
Eugène Delacroix|Illustrations for Faust|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Frontispiece - Portrait of Johann Wolfgang von Goethe|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Méphistophelés is at Marthe|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Marguerite with the wheel|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Duel of Faust and of Valentin|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Méphistophélés and Faust flee after the duel|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Marguerite at church|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Faust and Méphistophélés in the mountains of the Hartz|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Marguerite's shadow appears to Faust|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Faust and Méphistophélés horse riding on the Sabbath|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Faust in the prison of Marguerite|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Méphistophélés in the air|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Faust in his dressing-room|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Faust and Wagner|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Faust, Méphistophélé and the barbet|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Méphistophélés visits Faust|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust: Méphistophélé receives the schoolboy|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Méphistophélés in the tavern of the students|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Illustrations for Faust:  Faust seeks to allure Marguerite|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Lion of the Atlas Mountains|Cleveland Museum of Art|Print|1829
Eugène Delacroix|Tigre Royal|Cleveland Museum of Art|Print|1829
Eugène Delacroix|The Wild Horse, or Frightened Horse Leaving the Water|Cleveland Museum of Art|Print|1828
Eugène Delacroix|Hamlet|Cleveland Museum of Art|Print|1834
Eugène Delacroix|Hamlet:  The Queen Endeavors to Console Hamlet|Cleveland Museum of Art|Print|1834
Eugène Delacroix|Hamlet:  Hamlet and the Queen|Cleveland Museum of Art|Print|1834
Eugène Delacroix|Hamlet:  Hamlet and the Corpse of Polonius|Cleveland Museum of Art|Print|1835
Eugène Delacroix|Hamlet:  The Chant of Ophelia|Cleveland Museum of Art|Print|1834
Eugène Delacroix|Hamlet:  The Death of Ophelia|Cleveland Museum of Art|Print|1843
Eugène Delacroix|Hamlet:  Hamlet and Horatio with the Grave Diggers|Cleveland Museum of Art|Print|1843
Eugène Delacroix|Hamlet:  Hamlet and Laertes in the Grave of Ophelia|Cleveland Museum of Art|Print|1843
Eugène Delacroix|Hamlet:  The Death of Hamlet|Cleveland Museum of Art|Print|1843
Eugène Delacroix|Hamlet: Hamlet Rushes to Follow the Ghost of His Father|Cleveland Museum of Art|Print|1835
Eugène Delacroix|Hamlet:  The Phantom on the Terrace|Cleveland Museum of Art|Print|1843
