fullname,colloq_name,title,creation_date,department,type
Eugène Delacroix,Delacroix,Two Boats at the Harbor of Dieppe,1854,Drawings,Drawing
Eugène Delacroix,Delacroix,Greek Cavalry Men Resting in Forest,1858,Modern European Painting and Sculpture,Painting
Eugène Delacroix,Delacroix,A Trapped Tiger,1854,Prints,Print
Eugène Delacroix,Delacroix,The Blacksmith,1833,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Frontispiece - Portrait of Johann Wolfgang von Goethe,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Méphistophelés is at Marthe,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Marguerite with the wheel,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Duel of Faust and of Valentin,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Méphistophélés and Faust flee after the duel,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Marguerite at church,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Faust and Méphistophélés in the mountains of the Hartz,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Marguerite's shadow appears to Faust,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Faust and Méphistophélés horse riding on the Sabbath,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Faust in the prison of Marguerite,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Méphistophélés in the air,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Faust in his dressing-room,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Faust and Wagner,1828,Prints,Print
Eugène Delacroix,Delacroix,"Illustrations for Faust: Faust, Méphistophélé and the barbet",1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Méphistophélés visits Faust,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust: Méphistophélé receives the schoolboy,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Méphistophélés in the tavern of the students,1828,Prints,Print
Eugène Delacroix,Delacroix,Illustrations for Faust:  Faust seeks to allure Marguerite,1828,Prints,Print
Eugène Delacroix,Delacroix,Lion of the Atlas Mountains,1829,Prints,Print
