last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Baer,"Baer, Jo",paintings,Untitled,Jo Baer,1964-1965,American,1
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 5: The Attack of the Embassy (Reconstruction),Franz Ackermann,1999,German,2
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 6: Rebuilding Beyrut,Franz Ackermann,1999,German,3
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 7: Bombing the Power Plant,Franz Ackermann,1999,German,4
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 8: Suddenly It was Completely Dark (Maybe Because I Closed My Eyes),Franz Ackermann,1999,German,5
Ackermann,"Ackermann, Franz",drawings and watercolors,"Trans East West (Tew) No. 9: The ""Meridien"" Will Have a Nice View",Franz Ackermann,1999,German,6
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 10: To the People of Damascus,Franz Ackermann,1999,German,7
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 11: Former Restaurant,Franz Ackermann,1999,German,8
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 12: The Neighbours,Franz Ackermann,1999,German,9
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 13: The President,Franz Ackermann,1999,German,10
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 14: To the People of Damascus,Franz Ackermann,1999,German,11
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 15: Cinema Beyrut,Franz Ackermann,1999,German,12
Ackermann,"Ackermann, Franz",drawings and watercolors,Trans East West (Tew) No. 16: Secret Excavations in Pigman's Land,Franz Ackermann,1999,German,13
Katz,"Katz, Alex",paintings,Green Jacket,Alex Katz,1989,American,36
Newman,"Newman, Henry Roderick",drawings and watercolors,Study for Autumn Foliage,Henry Roderick Newman,1867,American,39
Lhote,"Lhote, André",drawings and watercolors,Paysage du Bassin d'Arcachon,André Lhote,c. 1930,French,40
Kandinsky,"Kandinsky, Vassily",prints,"Radierung für ""24 Essais de Jakovski""",Vassily Kandinsky,1934,Russian,41
